date,title,media_type,url
2024-01-01,NGC 1232: A Grand Design Spiral Galaxy,image,https://apod.nasa.gov/apod/image/2401/ngc1232b_vlt_960.jpg
2024-01-02,Rocket Transits Rippling Moon,image,https://apod.nasa.gov/apod/image/2401/FalconMoon_Madow_960.jpg
2024-01-03,A SAR Arc from New Zealand,image,https://apod.nasa.gov/apod/image/2401/SarArcNz_McDonald_960.jpg
2024-01-04,Zeta Oph: Runaway Star,image,https://apod.nasa.gov/apod/image/2401/ZetaOph_spitzer_960.jpg
2024-01-05,Trapezium: At the Heart of Orion,image,https://apod.nasa.gov/apod/image/2401/Image964_1024.jpg
2024-01-06,The Snows of Churyumov-Gerasimenko,video,https://www.youtube.com/embed/PpyPgJHKxSw?rel=0
2024-01-07,The Cat's Eye Nebula in Optical and X-ray,image,https://apod.nasa.gov/apod/image/2401/CatsEye_HubblePohl_960.jpg
2024-01-08,The Phases of Venus,image,https://apod.nasa.gov/apod/image/2401/VenusPhases_Gonzales_960.jpg
2024-01-09,Thor's Helmet,image,https://apod.nasa.gov/apod/image/2401/ThorsHelmet_Biswas_960.jpg
2024-01-10,"The Light, the Dark, and the Dusty",image,https://apod.nasa.gov/apod/image/2401/Sh2_155_4K_5Mb1024.jpg
2024-01-11,Quadrantids of the North,image,https://apod.nasa.gov/apod/image/2401/2024_quadrantids_240104_med_bsyeom1024.jpg
2024-01-12,Good Morning Moon,image,https://apod.nasa.gov/apod/image/2401/HimmlichesDreieckSaarburg_TWAN_mercurybildweb1024.jpg
2024-01-13,Circling the Sun,image,https://apod.nasa.gov/apod/image/2401/22halo_Zboran1115.jpg
2024-01-14,Dragon Aurora over Iceland,image,https://apod.nasa.gov/apod/image/2401/DragonAurora_Zhang_960.jpg
2024-01-15,Star Cluster IC 348 from Webb,image,https://apod.nasa.gov/apod/image/2401/IC348_webb_960.jpg
2024-01-16,The Orion You Can Almost See,image,https://apod.nasa.gov/apod/image/2401/OrionMcc_Guzzini_960.jpg
2024-01-17,America and the Sea of Serenity,image,https://apod.nasa.gov/apod/image/2401/22466-22467anaVantuyne900.jpg
2024-01-18,Northern Lights from the Stratosphere,image,https://apod.nasa.gov/apod/image/2401/MagneticStormRohner1024.jpg
2024-01-19,Jupiter over 2 Hours and 30 Minutes,image,https://apod.nasa.gov/apod/image/2401/2024_01_15-Jup-2h30-Chronograph600.png
2024-01-20,Falcon Heavy Boostback Burn,image,https://apod.nasa.gov/apod/image/2401/DSC07781_12Huff800.jpg
2024-01-21,The Upper Michigan Blizzard of 1938,image,https://apod.nasa.gov/apod/image/2401/snowpoles_brinkman_960.jpg
2024-01-22,Shadows of Mountain and Moon,image,https://apod.nasa.gov/apod/image/2401/GrivolaMoon_Micon_1080.jpg
2024-01-23,Deep Nebulas: From Seagull to California,image,https://apod.nasa.gov/apod/image/2401/SeagullToCalifornia_Symon_960.jpg
2024-01-24,Earth and Moon from Beyond,image,https://apod.nasa.gov/apod/image/2401/EarthMoon_Artemis1Saunders_960.jpg
2024-01-25,Jyväskylä in the Sky,image,https://apod.nasa.gov/apod/image/2401/image-20240116164558_v11024.jpg
2024-01-26,Epsilon Tauri: Star with Planet,image,https://apod.nasa.gov/apod/image/2401/Ain_1024.jpg
2024-01-27,Full Observatory Moon,image,https://apod.nasa.gov/apod/image/2401/Full_Moon_Jan_24_Beletsky1024c.jpg
2024-01-28,Pluto in True Color,image,https://apod.nasa.gov/apod/image/2401/PlutoTrueColor_NewHorizons_960.jpg
2024-01-29,The Pleiades: Seven Dusty Sisters,image,https://apod.nasa.gov/apod/image/2401/Pleiades_Stocks_960.jpg
2024-01-30,SLIM Lands on the Moon,image,https://apod.nasa.gov/apod/image/2401/Slim_jaxa_960.jpg
2024-01-31,Camera Orion Rising,image,https://apod.nasa.gov/apod/image/2401/OrionRising_Slipko_960.jpg
2024-02-01,NGC 1365: Majestic Island Universe,image,https://apod.nasa.gov/apod/image/2402/NGC1365_v4_1024.jpg
2024-02-02,NGC 1893 and the Tadpoles of IC 410,image,https://apod.nasa.gov/apod/image/2402/Tadpoles1024original.png
2024-02-03,Apollo 14: A View from Antares,image,https://apod.nasa.gov/apod/image/2402/a14pan9335-43emj_900.jpg
2024-02-04,The Cone Nebula from Hubble,image,https://apod.nasa.gov/apod/image/2402/cone_hubbleschmidt_960.jpg
2024-02-05,In the Core of the Carina Nebula,image,https://apod.nasa.gov/apod/image/2402/Carina_Taylor_960.jpg
2024-02-06,NGC 1566: A Spiral Galaxy from Webb and Hubble,image,https://apod.nasa.gov/apod/image/2402/Ngc1566_HubbleWebb_960.jpg
2024-02-07,The Heart Shaped Antennae Galaxies,image,https://apod.nasa.gov/apod/image/2402/Antennae_Biggs_960.jpg
2024-02-08,Globular Star Cluster 47 Tuc,image,https://apod.nasa.gov/apod/image/2402/NGC104_RGB_NASA1024.png
2024-02-09,When Roses Aren't Red,image,https://apod.nasa.gov/apod/image/2402/Rosette2024newt533mmcopy1024.png
2024-02-10,The Shadow of Ingenuity's Damaged Rotor Blade,image,https://apod.nasa.gov/apod/image/2402/PIA26243-1024.jpg
2024-02-11,Rocket Plume Shadow Points to the Moon,image,https://apod.nasa.gov/apod/image/2402/sts98plume_nasa_960.jpg
